"tconst"	"title"	"release_year"	"release_date"	"MPAA"	"genre"	"runtime"	"poster_url"	"plot_short"	"plot_long"	"imdb_rating"	"num_imdb_votes"	"metacritic"	"num_user_reviews"	"num_critic_reviews"
"tt0013442"	"Nosferatu, eine Symphonie des Grauens"	"1922"	"4 March 1922"	"Not Rated"	"['Fantasy', 'Horror']"	"94"	"https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"	"Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife."	"Wisbourg, Germany based estate agent Knock dispatches his associate, Hutter, to Count Orlok's castle in Transylvania as the Count wants to purchase an isolated house in Wisbourg. They plan on selling him the one across the way from Hutter's own home. Hutter leaves his innocent wife, Ellen, with some friends while he is away. Hutter's trek is an unusual one, with many locals not wanting to take him near the castle where strange events have been occurring. Once at the castle, Hutter does manage to sell the Count the house, but he also notices and feels unusual occurrences, primarily feeling like there is a dark shadow hanging over him, even in the daytime when the Count is unusually asleep. Hutter eventually sees the Count's sleeping chamber in a crypt, and based on a book he has recently read, believes the Count is really a vampire or Nosferatu. While Hutter is trapped in the castle, the Count, hiding in a shipment of coffins, makes his way to Wisbourg, causing death along his way, ..."	"7.9"	"84566"	""	"413"	"194"
"tt0013257"	"Häxan"	"1922"	"18 September 1922"	"Not Rated"	"['Fantasy', 'History', 'Horror']"	"91"	"https://m.media-amazon.com/images/M/MV5BNGJjOWY1NDUtZGEyZC00Y2VmLWIzZWUtZDRmODYwYmQzN2VmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg"	"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in modern Europe."	"Part history lesson followed by re-enactments with actors, this film depicts the history of witchcraft from its earliest days through to the present day (in this case,1922 or thereabouts). The result is a documentary-like film that must be among the first to use re-enactments as a visual and narrative tool. From pagan worship to satanic rites to hysteria, the film takes you on a journey through the ages with highly effective visual sequences."	"7.7"	"11220"	""	"86"	"81"
"tt0013427"	"Nanook of the North"	"1922"	"11 June 1922"	"Not Rated"	"Documentary"	"78"	"https://m.media-amazon.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_.jpg"	"In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle."	"Documents one year in the life of Nanook, an Eskimo (Inuit), and his family. Describes the trading, hunting, fishing and migrations of a group barely touched by industrial technology. Nanook of the North was widely shown and praised as the first full-length, anthropological documentary in cinematographic history."	"7.6"	"10184"	""	"43"	"57"
"tt0013086"	"Dr. Mabuse, der Spieler"	"1922"	"30 September 1922"	"Not Rated"	"['Crime', 'Mystery', 'Thriller']"	"242"	"https://m.media-amazon.com/images/M/MV5BMjEwMzk5MTI1MV5BMl5BanBnXkFtZTgwNDY1MTA5MTE@._V1_.jpg"	"Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him."	"Dr. Mabuse and his organization of criminals are in the process of completing their latest scheme, a theft of information that will allow Mabuse to make huge profits on the stock exchange. Afterwards, Mabuse disguises himself and attends the Folies Bergères show, where Cara Carozza, the main attraction of the show, passes him information on Mabuse's next intended victim, the young millionaire Edgar Hull. Mabuse then uses psychic manipulation to lure Hull into a card game where he loses heavily. When Police Commissioner von Wenk begins an investigation of this mysterious crime spree, he has little to go on, and he needs to find someone who can help him."	"7.9"	"7006"	""	"40"	"77"
"tt0013140"	"Foolish Wives"	"1922"	"11 January 1922"	"Not Rated"	"['Drama', 'Thriller']"	"117"	"https://m.media-amazon.com/images/M/MV5BZjU3MzliZGMtNzNhMi00ZjIyLThhZDAtNmFmYTk0ZWRkZWU1XkEyXkFqcGdeQXVyMTA2ODMzMDU@._V1_.jpg"	"A con artist masquerades a Russian nobility and attempts to seduce the wife of an American diplomat."	"""Count"" Karanzim, a Don Juan is with his cousins in Monte Carlo, living from faked money and the money he gets from rich ladies, who are attracted by his charmes and his title or his militaristic and aristocratic behaviour. He tries to have success with Mrs Hughes, the wife of the new US ambassador."	"7.1"	"2892"	""	"25"	"29"
"tt0012938"	"Beyond the Rocks"	"1922"	"7 May 1922"	"Passed"	"['Drama', 'Romance']"	"80"	"https://m.media-amazon.com/images/M/MV5BOTQ0NDQyNzQyOF5BMl5BanBnXkFtZTgwOTQ5Mzc0MjE@._V1_.jpg"	"A young woman marries an older millionaire and then falls in love with a handsome nobleman on her honeymoon."	"Love, duty, and the scent of narcissus. Theodora, a young and penniless aristocrat, marries a much older man, self-made millionaire grocer Josiah Brown, so that her father and spinster sisters can live comfortably. Soon after the wedding, she finds herself falling in love with Hector, the Tenth Earl of Bracondale, a playboy she encounters on the social circuit of the very rich -- in the Swiss Alps, Paris, London, and the English countryside. Hector is attracted to her as well. Theodora must choose between love and duty, and then Josiah and Hector must make choices of their own."	"6.8"	"2201"	""	"51"	"16"
"tt0013556"	"Robin Hood"	"1922"	"18 October 1922"	"Not Rated"	"['Adventure', 'Family', 'Romance']"	"143"	"https://m.media-amazon.com/images/M/MV5BYzRmMWIyNDEtYTRmYS00Y2FlLWJhOGUtYWZmNTI1YzZjOTc2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg"	"A nobleman becomes the vigilante Robin Hood who protects the oppressed English people from the tyrannical Prince John."	"Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, and Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swash buckling feats and cliffhanging perils!"	"7.2"	"1930"	""	"25"	"17"
"tt0013201"	"Grandma's Boy"	"1922"	"3 September 1922"	"Passed"	"['Comedy', 'Family']"	"60"	"https://m.media-amazon.com/images/M/MV5BMTQ5NDM4OTU2NV5BMl5BanBnXkFtZTgwOTIzODYwMjE@._V1_.jpg"	"A meek young man must find the courage within when a rogue tramp menaces his home town."	"Always the mama's boy, or in this case a grandma's boy, Sonny joins a posse after a tramp accused of robbery and murder. He is unable to conquer his cowardice until Grandma tells him of his grandfather, also a coward, who overcame his fears with the help of a magic amulet. With new courage (and the charm), Sonny captures the fugitive and becomes the hero of the day."	"7.0"	"1580"	""	"24"	"15"
"tt0013496"	"Phantom"	"1922"	"13 November 1922"	"Not Rated"	"['Drama', 'Romance']"	"125"	"https://m.media-amazon.com/images/M/MV5BMzBiMTU3Y2UtYWMwZS00NWQxLTgxMzItNWE3NTBmMTIwYWIzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg"	"A shiftless young man becomes obsessed with a mysterious woman and yearns to find her again."	"Lorenz Lubota is a city clerk with no direction in life. One day on his way to work he is run over by a woman driving a chariot and he is immediately infatuated with her. His life begins to spiral out of control as he searches for this girl and tries to win her heart."	"6.9"	"1472"	""	"18"	"24"
"tt0012952"	"Blood and Sand"	"1922"	"5 August 1922"	"Not Rated"	"['Drama', 'Romance', 'Sport']"	"80"	"https://m.media-amazon.com/images/M/MV5BMTc2ODU2MzM2MF5BMl5BanBnXkFtZTgwNTU2MjcyMjE@._V1_.jpg"	"A toreador's familial and social life is threatened when he has an affair."	"Juan is the son of a poor widow in Seville. Against his mother's wishes he pursues a career as toreador. He rapidly gains national prominence, and takes his childhood sweetheart Carmen as his bride. He meets the Marquis' daughter Dona Sol, and finds himself in the awkward position of being in love with two women, which threatens the stability of his family and his position in society. He finds interesting parallels in the life of the infamous bandit Plumitas when they eventually meet by chance."	"6.4"	"1211"	""	"20"	"12"
